time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-17 00:00:00+00:00,35,11,0,0
2026-04-18 00:00:00+00:00,29,11,0,0
2026-04-19 00:00:00+00:00,20,10,0,0
2026-04-20 00:00:00+00:00,67,27,0,0
2026-04-21 00:00:00+00:00,45,20,0,0
2026-04-22 00:00:00+00:00,78,27,0,0
2026-04-23 00:00:00+00:00,89,31,0,0
2026-04-24 00:00:00+00:00,76,29,0,0
2026-04-25 00:00:00+00:00,89,31,0,0
2026-04-26 00:00:00+00:00,35,10,0,0
2026-04-27 00:00:00+00:00,21,5,1,1
2026-04-28 00:00:00+00:00,10,4,0,0
2026-04-29 00:00:00+00:00,43,11,0,0
2026-04-30 00:00:00+00:00,29,9,0,0
