time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,89,31,0,0
2026-04-26 00:00:00+00:00,35,10,0,0
2026-04-27 00:00:00+00:00,21,5,1,1
2026-04-28 00:00:00+00:00,10,4,0,0
2026-04-29 00:00:00+00:00,43,11,0,0
2026-04-30 00:00:00+00:00,29,9,0,0
2026-05-01 00:00:00+00:00,37,9,0,0
2026-05-02 00:00:00+00:00,38,10,0,0
2026-05-03 00:00:00+00:00,30,11,0,0
2026-05-04 00:00:00+00:00,17,6,1,1
2026-05-05 00:00:00+00:00,33,8,0,0
2026-05-06 00:00:00+00:00,11,5,0,0
2026-05-07 00:00:00+00:00,27,10,0,0
2026-05-08 00:00:00+00:00,34,12,0,0
